intents,content
anaconda_installation,Hello sir.. I want to install anaconda... could you please send me the steps you have or any other links...
anaconda_installation,"Have this error while installing anaconda I had python 2.7, I have uninstalled and started this installation"
anaconda_installation,Nd didn&apos;t install anaconda in windows 7 Please help me I don&apos;t login
anaconda_installation,i had installed anaconda latest version yesterday
anaconda_installation,"Let me check, I am reinstalling anaconda, vll set it up and check"
anaconda_installation,I reinstalled anaconda and now the error is resolved
anaconda_installation,so as per this error do I need to install conda build?
anaconda_installation,I know sir but today I have installes 64 bit anaconda but it was giving an error
anaconda_installation,just deleted the anaconda 3 folder.....it had 9.62 GB od data
anaconda_installation,can i install the anaconda link from canvas........it is anaconda 3
anaconda_installation,"During the installation of Ananconda for 32 bit I am getting this error, can you please help me out fixing this . thank you"
anaconda_installation,"sure, But anaconda will support for 32 bit as well right and the rest of softwares like pi charm etc all of these are used in the class, I had laptop of 64 bit all was fine , but on unavoidable situation I had give away for someone. So my desktop is of 32 bit."
anaconda_installation,"you mean...first install it in anadconda cmd?<e_m a=""live:.cid.ba06e2578dd47edd"" ts_ms=""1599936436496"" ts=""1599936436"" t=""61""></e_m>"
anaconda_installation,I don&apos;t have anaconda 3
anaconda_installation,how i can search it? during installation i gave the path as C:\Users\DELL\anaconda3
anaconda_installation,seems like there is some problem with conda
anaconda_installation,There is an issue with conda
anaconda_installation,i was not able to see conda
anaconda_installation,I have tried installing Anaconda3
anaconda_installation,I was not able to indentify the coda
anaconda_installation,Conda and pip both needs to be updated
anaconda_installation,My laptop has 64 bit windows operating system but 64 bit Anaconda is giving problem during installation.
anaconda_installation,32 bit anaconda installed successfully but jupytor notebook giving error.
anaconda_installation,I uninstalled anconda
anaconda_installation,but anaconda for 32 installed
anaconda_installation,failed menu creation error while installing anaconda 64 bit
anaconda_installation,"hello, i am unable to see Anaconda prompt to uninstall from control panel... is there any way from where i can uninstall it?"
anaconda_installation,geting this erro while installing latest version of anaconda
anaconda_installation,"installation done, updating anaconda"
anaconda_installation,so how to install anaconda?
anaconda_installation,which option i will selected while installation Anaconda
anaconda_installation,Can you please help me in installing those project in my system
anaconda_installation,"Neep help 
I just uninstall anaconda dur to some theme issues 
Now when i am installing again it will give me error that failed to create menus. 
Could you pls help me out. Asap"
anaconda_installation,"No jdk is Installed 
But i have sort it out that latest version is not installing while February version of anaconda is working fine 
Thanks for helping"
anaconda_installation,I have installed anaconda navigator
anaconda_installation,I asked because python was installed in my system before Anaconda installed
anaconda_installation,as you said i started uninstalling Anaconda
anaconda_installation,hello i am having a problem while installing anaconda
anaconda_installation,i have downloaded anaconda but can&apos;t open the navigator
anaconda_installation,through anaconda prompt i tried opening it but it doesn&apos;t show any error and just show installing and closes down
anaconda_installation,can i use anaconda with visual studio? not separate install ?
anaconda_installation,i need your support regarding installation of anaconda and pycharm.actually i joined course yesterday
anaconda_installation,getting this error in installing anaconda
anaconda_installation,i am unable to use anaconda
anaconda_installation,suggest me how s to launch anaconda
anaconda_installation,i wanna install pycharm and anaconda
anaconda_installation,i am unable to install anaconda
anaconda_installation,and for installation anaconda command prompt?
anaconda_installation,even uninstalled anaconda and reinstalled it
anaconda_installation,sir i have installed anaconda but my anaconda navigator is not opening or responding
anaconda_installation,"Sir in the anaconda installation, I m getting error &quot; failed to create menus ....."
anaconda_installation,I had uninstalled previous anaconda 2 weeks back completely..m
anaconda_installation,I didn&apos;t install anaconda till yet
anaconda_installation,Can&apos;t we launch jupyter note book without installing anaconda?
anaconda_installation,how to remove all installed before in anaconda navigator?
anaconda_installation,i m installing both anaconda and pycharm
anaconda_installation,right now I could not use anaconda because my PC get damaged due to various case studies
anaconda_installation,I changed anaconda3 to d
anaconda_installation,hello sir..im from deep learning batch..i have installed anaconda new version with python 3.8..will it be comaptible to install tensorflow
anaconda_installation,I donâ€™t know whatâ€™s wrong with my conda that itâ€™s still taking base
anaconda_installation,from where do i need to install.. can u send me authentic link for window 7- 64 bit
anaconda_installation,when opening the file they are asking for installation again..i cant understand
anaconda_installation,anaconda
anaconda_installation,installed anaconda with 64 bit
anaconda_installation,"Hello ineuron team
This is Pravin

I wasn&#39;t able to install anaconda on Ubuntu.
Please help me"
anaconda_installation,"Yes sir
Thank you

Actually sir I have installed just jupyter from Ubuntu store...so this worked untill I was doing python 
but now as pandas is started so I have to install anaconda"
anaconda_installation,I am facing a problem while installing anaconda
anaconda_installation,can I do reinstallation of anaconda
anaconda_installation,"If I do reinstall anaconda, did I lose my existing ipynb files. Please suggest"
anaconda_installation,"good afternoon.I wanted to update my anaconda ,I typed the following code conda update conda.but it is showing some error."
anaconda_installation,my anaconda is not working even after reinstalling
anaconda_installation,how to use anaconda prompt then?
anaconda_installation,I am not still able to install anaconda
anaconda_installation,Cant able to install anaconda in pc
anaconda_installation,Can I install anaconda into my system using given link by dashboard ?is it recent one
anaconda_installation,After installed anaconda in my system it will ask to create cloud username and email id and set password may I do that ?
anaconda_installation,I was trying to install Anaconda and it gave some error
anaconda_installation,I m not abe to install anaconda in my laptop
anaconda_installation,"i have been trying to install anaconda package ,but it is giving a message cant install menus and installation stopd from there on"
anaconda_installation,i reached till here after i installed anaconda
anaconda_installation,In my pc  I can&apos;t able to install the anaconda
anaconda_installation,"Sir ,im installing anaconda, and i,m getting error failed to create menus everytime i,m unable to find solution of it"
anaconda_installation,do I need to install anaconda software in my windows o.s
anaconda_installation,"Virat explainned very well in last class, i could not make . I dont know correct installment done for conda."
anaconda_installation,"My virtual python envionment is 3.8 , my anconda python is 3.7, so what to do? do i need to install 3.7 virtual python ? (rasa is now in 3.7 anaconda)"
anaconda_installation,"Even tried with miniconda but that too giving me same problem....one more thing the continuum inside app data is empty too
Can you suggest me something 
I tried so many things but nothing is working for me.
I would be grateful to you"
anaconda_installation,Can you please share how to install conda in ubuntu
anaconda_installation,ok so please share anaconda download link
anaconda_navigator,not able to find anaconda navigator
anaconda_navigator,I have installed Anaconda navigator but I am facing issue while launching it.
anaconda_navigator,"Actually I have uninatalled and installed again, now I could not able to search anaconda on windows search"
anaconda_navigator,i have installed still i could not able to find Anaconda nav
anaconda_navigator,i am not getting from where to get Anaconda nav home screen
anaconda_navigator,"from 3 months i am facing issue with Anaconda nav, i tried many ways to make it work but i could not able to resolve the issue"
anaconda_navigator,i have followed the above steps which u have guided and installed Anacoda Nav but still facing issue in launcing that
anaconda_navigator,getting the above error message after launching Anaconda nav
anaconda_navigator,"Please help me with this, from many days i could not wrk in Anaconda nav"
anaconda_navigator,Now my anaconda is also not working.
anaconda_navigator,Where is anaconda here?
anaconda_navigator,or Register anaconda as my default Python 3.7
anaconda_navigator,My anaconda navigator is not opening
anaconda_navigator,"as you can see in this, there is no icon on the anaconda navigator"
anaconda_navigator,I am I facing some problem in opening Anaconda
anaconda_navigator,Hello I am gauri nagre from MLD6th course from ineuron currently going on. I am facing an issue to run my Anaconda Navigator and jupyter notebook. I tried solving the error but there still seems problem in opening it. I will need your help to slove the issue.Thank you
anaconda_prompt,okay I&apos;ll try from anaconda prompt
anaconda_prompt,in ana conda promt
anaconda_prompt,conda update scikit-learn
anaconda_prompt,Hi team I have installed anaconda 3.2 version from above link as my system did not allow me to load 6.4 version. But installing pycharm I faced same issue. Its showing more than 32bit not allowed. Please give me an alternate link to download pycharm and also send a link to load jupyternotebook.
anaconda_prompt,hope thats same as anaconda prompt
anaconda_prompt,Hi..i am using linux16.04.. How to install anaconda properly and to be sure it is installed.. How to get the anaconda prompt..How to get Jupyter notebook?
anaconda_prompt,checked it via anaconda prompt.Its done sir
anaconda_prompt,How to go to the created virtual environment (tfod) from anaconda prompt
anaconda_prompt,Confused conda prompt is showing 1.14 tf version but in jupyter note is showing 2.2.0 tf version
anaconda_prompt,"When installing to Linux or MacOS, there isn&apos;t an anaconda prompt. Everything is set up to use the terminal."
anaconda_prompt,I installed through anaconda prompt
anaconda_prompt,When this pic I have sent u..I tried to open jupyter notebook from anaconda prompt.
anaconda_prompt,when I run it in anaconda prompt it shows DLL error sir
anaconda_prompt,Sir taught that way n 29 June class in anaconda prompt..but in my anaconda prompt tensorflow was not importing so I did same in Google Collab..but here too this module error of &quot;official &quot; I m getting as shown In above screenshot
anaconda_prompt,where should i install on jupitor notebook or anaconda prompt
anaconda_prompt,its working fine in anaconda prompt but it&apos;s not working in jupyter notebook
anaconda_prompt,"HI, hiow do we exit from the Anaconda prompt"
anaconda_prompt,pip should be installed thru the anaconda prompt?
anaconda_prompt,pr in anconda prompt
anaconda_prompt,even I have installed flask in conda prompt on running code why its showing like that ?
anaconda_prompt,I only installed anaconda
anaconda_prompt,and how to switch from base env. to new environment in anaconda promp
anaconda_prompt,And i am not able to type anything in anaconda prompt
anaconda_prompt,This is anaconda prompt so how will get base here
anaconda_prompt,anaconda prompt
anaconda_prompt,I am facing an issue with anaconda prompt while installing or upgrading any package in base environment
anaconda_prompt,"when I am installing a package through anaconda prompt (not run as administrator) I am getting below error:
PermissionError: [Errno 13] Permission denied: &apos;C:\\Users\\AshwinKrishnan\\anaconda3\\Lib\\site-packages\\accesstest_deleteme_fishfingers_custard_76fjss&apos;"
anaconda_prompt,"but when trying the same in anaconda prompt with run as administrator option, it is working fine..
but I could able to install the packages through anaconda prompt without run as administrator also right in base environment"
anaconda_prompt,"Hi Team, how can I check my current anaconda version, I installed it two months back. Do I need to uninstall the anaconda software and reinstall it"
anaconda_prompt,Sam error in anaconda prompt well in jupyter notebook
anaconda_prompt,sir I have done that in anaconda prompt
anaconda_prompt,"All libraries , I have installed using anaconda prompt"
anaconda_prompt,you mean Anaconda Powershell prompt?
anaconda_prompt,I am in the anaconda cmd prompt
anaconda_prompt,But when doing it in anaconda prompt it says requirement already satisfied
anaconda_prompt,some .dll issue while creating environment from anaconda prompt and Anaconda navigator
anaconda_prompt,found error in anaconda prompt
anaconda_prompt,anaconda promt shows file are being saved in C drive
anaconda_prompt,i did install in anaconda prompt
anaconda_prompt,which terminal in anaconda prompt
anaconda_prompt,in anaconda terminal
anaconda_prompt,"Also, should I run this command from anaconda prompt?"
anaconda_prompt,I tried this from anaconda prompt: conda install -c conda-forge xgboost
anaconda_prompt,Something error in anaconda prompt
anaconda_prompt,Do we have to install java before running spark on anaconda prompt?
anaconda_prompt,"i opened through anaconda prompt, jupyter app and anaconda navigator and even try reinstalling"
anaconda_prompt,"Hello sir, 
My anaconda was was in C. Now I uninstalled from there and installed in E drive.... but my anaconda promt and base envs still in C drive. I want to make environment in E Drives."
anaconda_prompt,But if I am doing in Anaconda prompt conda install Tensorflow==1.14 it says package already installed
anaconda_prompt,i installed thru anaconda prompt using conda install Tensorflow==1.14
anaconda_prompt,u mean to say in anaconda prompt only to import tensorflow
anaconda_prompt,same issue in the anaconda prompt as well
anaconda_prompt,annaconda comd promt
anaconda_prompt,anaconda prompt is python shell
anaconda_prompt,close the prompt and then open it
anaconda_prompt,in anaconda prompt right?
anaconda_prompt,2. In Anaconda prompt&gt; was unexpected at this time
anaconda_prompt,Sir have technical problem when I am using anaconda prompt
anaconda_prompt,Not working in anaconda prampt
anaconda_prompt,"Sir, I installed from the above link n did these basic things on anaconda prompt"
anaconda_prompt,Have got one doubt regarding the update of anaconda ....this one is 4.5.12 with python 3.7......... ...so does that mean I can&#39;t use the 2020.07 installer with python 3.8 ??
anaconda_prompt,the above error is getting when is a trying to run spark near command prompt
anaconda_prompt,Typing anaconda prompt in start there jupeter notebook enter
anaconda_prompt,Jupyter note book not running from command prompt
anaconda_prompt,I already have shared the screen shot .on trying to launch jupyter note book anaconda prompt says unable to create an istance
anaconda_prompt,i should do it in anaconda promt
anaconda_prompt,Could you please help me to change working dir to specific folder using anaconda commend prompt
anaconda_prompt,how to update the anaconda prompt sir
anaconda_prompt,sir am not getting the anacoda prompt
anaconda_prompt,anaconda prompt is update
anaconda_prompt,Ok as for this environment I am using Python 3.6 version. But how I can check the Python version on my Anaconda prompt
anaconda_prompt,Fyi I am executing above comment from anaconda prompt
anaconda_prompt,Or should I implement it in anaconda prompt?
anaconda_prompt,how will anaconda promt know the location
anaconda_prompt,whenever i&apos;m opening anaconda prompt its showing this
anaconda_prompt,Hello sir im facing issue in anaconda prompt
anaconda_prompt,i had got above error in anaconda prompt
anaconda_prompt,"Sir, How to open anaconda prompt in mac"
anaconda_prompt,this error i got when installing through conda prompt
anaconda_prompt,does it make any diff running anaconda prompt in administrator mode
anaconda_prompt,i was adding anaconda prompt into windows terminal
anaconda_prompt,sir i have to open new conda prompt
anaconda_prompt,as i am facing same issue when i am making environment with anaconda prompt
anaconda_prompt,but the same is working from anaconda prompt
anaconda_prompt,I have done this in anaconda prompt it is already installed.
anaconda_prompt,"i installed it from anaconda ,not conda prompt from the anaconda navigator into this environment ?what do you say should I install it again?"
anaconda_prompt,when running the training command in anaconda prompt I am getting this error?
anaconda_prompt,how can I use sql using anaconda promt
anaconda_prompt,if i want to get this by anaconda prompt
anaconda_prompt,Sir is creating virtual env using cmd prompt and anaconda prompt same or different???
anaconda_prompt,how to create a new environment in anaconda prompt?
anaconda_prompt,"sir after restarting system when I open anaconda prompt, getting this error"
anaconda_prompt,"Hello sir after running all the commands in anaconda prompt , when I tried to open jupyter notebook in new environment it is opening old jupyter notebook"
anaconda_prompt,for to change the directory in anaconda prompt
anaconda_prompt,Can u tell me the command to run in anaconda prompt
anaconda_prompt,how to exit from anaconda prompt
anaconda_query,so can&apos;t i install both through anaconda promt?
anaconda_query,now can i close anaconda promt window directly?
anaconda_query,"while downloading pycharm, since i already have anaconda , do i have to select &apos;New environment&apos; or &apos;existing interpreter&apos;?"
anaconda_query,"If Base interpreter can be used as anaconda , can i check &apos;Inherit global site packages&apos; and &apos;make available to all projects&apos; while creating a new project in pycharm"
anaconda_query,"when i did it in conda...following is the screenshot of the result:
"
anaconda_query,I was not able to create a new conda environment... hence I reinstalled the whole Pycharm .. but despite doing it .. I am able to create a virtualenv.
anaconda_query,cf command is working in anaconda prompt but not working in pycharm..can you please help
anaconda_query,"Hi, I am struggling with Anaconda can you help"
anaconda_query,while creating a new environment in anaconda
anaconda_query,"I installed anaconda, but unable to open jupyter lab"
anaconda_query,"using anaconda navigator , not opening"
anaconda_query,that is while trying to open jupyter notebook from anaconda command prompt
anaconda_query,Hi I am facing issue with anaconda
anaconda_query,please help me with the running of anaconda
anaconda_query,"any other software that i can use, instead of anaconda?"
assignment_data_visulization,For assignment of data visualization we need to convert the iris data into 3-D and also need to plot 3-D plot.
assignment_data_visulization,Yes sir. It is assignment for data visualization
assignment_data_visulization,its there in visualization assignment
assignment_data_visulization,hello sir. I had a query regarding data visualization assignment. Do we need to plot a 3D scatter plot for the 3 most important features in iris dataset?
assignment_data_visulization,this question is given in data visualization assignment
assignment_data_visulization,Is there a plan to discuss it in future? Shall I delay those two data visualization assignments?
assignment_data_visulization,because its given in Data visualization assignment
assignment_data_visulization,sir but its given in Data visualization assignment
assignment_data_visulization,i got stuck in data visualization assignment
assignment_data_visulization,In this assignment students have to transform iris data into 3 dimensions and plot a 3d chart with transformed dimensions and colour each data point with specific class.
assignment_data_visulization,sir in data visualization assignment they have told to transform data into 3d
assignment_data_visulization,ok then no need to do data visualization assignment until PCA is discussed right?
assignment_data_visulization,I need some help with data visualization assignment
assignment_data_visulization,I not able to understand how to transform iris data into 3d
assignment_data_visulization,There is a question in Data Visualization assignment which I am mentioning below -
assignment_data_visulization,i have to solve both assignments in visualization using matplotlib? i mean it is mentioned there to use matplotlib
assignment_data_visulization,in &apos;data visualization&apos; assignment question
assignment_data_visulization,In assignment &quot;visualization with pandas&quot;
assignment_data_visulization,In Data Visualization assiggnment
assignment_data_visulization,"im unable to do the data visualization assignment , that is the 3d plotting"
assignment_data_visulization,"Sir, in the data visualization assignment where we had to convert the iris dataset into 3D dimensions, i did it with Axes3D. 
My question is , suppose, there is a dataset in which there are more than 3 categories, is there any way to visualize that dataset?"
assignment_data_visulization,"hello sir , I am stuck in data visualization assignment in which we have to make 3d graph , how to do that ? we have not been taught how to do decomposition and whats thats sir??"
assignment_data_visulization,Data visualization assignment .Do we have to use ml concepts?
assignment_evaluation,"Sir, my assignment 1 is still not evaluated,
but all other till exceptional handlung is graded."
assignment_evaluation,Sir when I get grade of assignment?
assignment_evaluation,"I have submitted my assignments 1,2  when will you check that"
assignment_evaluation,"Hi, 
Actually lot of my assignments I submitted a couple of weeks back have not been graded. Email id: <a href=""mailto:nash.iturms@gmail.com"">nash.iturms@gmail.com</a>
Thank you"
assignment_evaluation,sir OOPS assignment is not graded sir
assignment_evaluation,"hi I submitted assignment 1 and 2 of python section,so can i know whether it is evaluated or not?"
assignment_evaluation,Thank you. I am in ML29 batch . I submitted first 3 python assignments couple of days back. I dont see any grades as of now
assignment_evaluation,"Sir, I have submitted my assignments on 3 aug and it&apos;s not checked. Please check it and if there are any mistakes, then give me suggestions. Thank you."
assignment_evaluation,Sir 3rd and 4th assignment is not checked.
assignment_evaluation,3rd and the data cleaning assignment is not checked
assignment_evaluation,when can I expect it to be graded with feedback
assignment_evaluation,sir when will our assignments be evaluated?
assignment_evaluation,the ones we have submitted..?
assignment_evaluation,sir i also have submit my assignment aprox 2 weak ago of mld 28 march but i am not getting marks yet
assignment_evaluation,my assignments is not checking since last 1.5 month
assignment_evaluation,"Sir, how many days generally it will take for the grading of assignments??"
assignment_evaluation,"Sir, it&apos;s been almost 2 weeks since I submitted my assignments, but the grading has not been done, request you to clarify"
assignment_evaluation,"Hi.......I have submitted 7 assignments python module of DLCVNLP on 7th May, but these are not graded yet. when will I get the response regarding that?"
assignment_evaluation,"sir, my grade points is not given for the assignment submitted in april month plzz check my assignment i need certificate for job"
assignment_evaluation,How much time will it take to upload the grades of my assignment
assignment_evaluation,Approximately how much time ineauron team will take to evaluate it
assignment_evaluation,can you please review and confirm if I correctly submitted the code and output
assignment_evaluation,i have submitted my assignment last week but they have not been reviewed
assignment_evaluation,Hello I have submitted all the remaining assignments. Please evaluate them. Thank you in advance.
assignment_evaluation,Will there any marks for the assignments given in the class ?
assignment_evaluation,"But how you will get to know that, and assign grade of assignment??"
assignment_evaluation,"Hello team, i&apos;ve one query- how long does it take to evaluate the submitted assignment?"
assignment_evaluation,"hello Support team, I&apos;ve uploaded my assignment last week but Only one assignment has been evaluted so far."
assignment_evaluation,my assignments are yet to be evaluated.
assignment_evaluation,"Okk.
And you will evaluate amd put the results after completion of assignments?"
assignment_evaluation,"I was facing a little issue with the code.
So i thought to get it checked."
assignment_evaluation,i want in the assement score all mine are given 20
assignment_evaluation,will the team check all the answers or just randomly they see it.
assignment_evaluation,My first assighment has not been checked yet
assignment_evaluation,"Can you please tell me, up to when I will be getting the grades of the assignment ?"
assignment_evaluation,When will i get feedback?
assignment_evaluation,And my assignments for DLCVNLP arent corrected
assignment_evaluation,Basically I submitted my first 3 python assignments for both DLCVNLP and MLD6ThJune. For 6th June 2 got corrected while for DLCVNLP none
assignment_evaluation,"Can you please correct my DLCVNLP assignments<ss type=""cwl"">(cwl)</ss><ss type=""cwl"">(cwl)</ss><ss type=""cwl"">(cwl)</ss>"
assignment_evaluation,"Hello I was told that my assignments for DLCVNLP will be corrected within two weeks,its been more than two weeks. None of my assignments there are corrected.Please take a look"
assignment_evaluation,"May I know why my assignments for dlcvnlp are not being corrected <ss type=""sad"">:(</ss> its the same assignments ive submitted for mld6th june as well and all my assignments there are corrected"
assignment_evaluation,"I have submitted my assignments `3 weeks ago. They are not yet reviewed, how long will it take?"
assignment_evaluation,"Hello, Team till now there is update of marks"
assignment_evaluation,sir my assignment 4 and exception handling assignment still not graded.
assignment_evaluation,assignments are not yet graded sir.
assignment_evaluation,however assignment 2 didnt get reviewed. Is there any issue on not able to view ? I had submitted the assignment
assignment_evaluation,I have submitted python assignments on May 3..but not yet evaluated
assignment_evaluation,Hi team. My python assignments submitted in DLCVNLP is still not evaluated.
assignment_evaluation,are you checking the assignments or not?
assignment_evaluation,please check for the assignment evaluation
assignment_evaluation,I want to know when will be the grade for python assigbment will be updated
assignment_evaluation,Will I get any notification that my assignment is validated or checked?
assignment_evaluation,I have submitted my python assignment 3 and 4 from 1st of May and it&apos;s not evaluated yet . Can you please evaluate it when you get time . So that it will motivate us to work on more assignments
assignment_evaluation,my assignment 2 of python is not correct by sir
assignment_evaluation,And also how can i know my assignments are evaluated ?
assignment_evaluation,now it is more more than a month still not even 1 of my assignments is graded
assignment_evaluation,sir told that within 14 days assignment will be graded
assignment_evaluation,May I know when the assignments get evaluated &amp; when I can get to see the marks obtained
assignment_evaluation,i have submitted the assignment 1 to 5 in ml 6 june batch two weeks before. but not checked till now.
assignment_evaluation,by when i can expect the grads
assignment_evaluation,For Python Course Assignments by when i can expect grads and certificate
assignment_evaluation,I have submitted my assignment and i have not recieved any response how long will it take for evaluation?
assignment_evaluation,How will I come to know if my assignments are getting reviewed or not ?
assignment_evaluation,"Where exactly, I cannot se any marks or any review/comment on my assignment submitted"
assignment_evaluation,"And one more thing sir, u are not graded my assignments, I have submit the assignments many days ago."
assignment_evaluation,but can&apos;t get grades
assignment_evaluation,"Hello sir ,my panda assignment has not been checked yet"
assignment_evaluation,Can you please advise when can be the assignments graded?
assignment_evaluation,I had submitted the machine learning assignments 12 days ago sir. It has not been checked yet.
assignment_evaluation,"However,I havnt received any remarks on that"
assignment_evaluation,"Hi Sir/Madam,when will the submitted assignment be graded once submitted?"
assignment_evaluation,"Hi,
This is Anuradha.
My python assignment 3 has not been evaluated which i have submitted on 23rd august.
Thanks"
assignment_evaluation,Where do i find the Assignment grades?
assignment_evaluation,but till now its not validated. If something went wrong please letme know
assignment_evaluation,"Hi, I would like to know the importance of Grade in assignment evaluation"
assignment_evaluation,"Hi Good Morning, I have submitted 3 assignments of power bi when can we expect the score and grade results."
assignment_evaluation,"Once I submit an assignment, what is the expected time of evaluation?"
assignment_evaluation,my assignment is not graded of ReviewScrapper
assignment_evaluation,my past assignment is not graded
assignment_evaluation,Please check my assignment
assignment_evaluation,sir its almost 2 weeks i didn&apos;t get any grades for my assignments.
assignment_evaluation,Hello sir i had uploaded 3rd assignment almost 4 days ago. so much time it will check to evaluate.
assignment_evaluation,hello sir i had submitted my Python Assignment on 22-07-2020. Till now they were not graded.
assignment_evaluation,hello sir i have sent my assignments regarding power bi and tableau .it is since 10 days .may i know how long it will take to evluate ???
assignment_evaluation,could you plx let me know when will our assignments be evaluated?
assignment_evaluation,And I submitted fst assignment sir.. Still I didn&#39;t get my score When I will get
assignment_evaluation,I have submitted 2 assignments but did not get any reply on that.
assignment_evaluation,my third python assignment is not graded.
assignment_evaluation,It is in courses -&gt; grade right?
assignment_evaluation,Please evaluate my assessment
assignment_evaluation,I am Parvathi.. I would like to enquire regarding my assignment status..
assignment_evaluation,I have submitted tf2 regression assignment please check
assignment_evaluation,"Its been a week since I have submitted my assignment, but I did not get my grades"
assignment_evaluation,"Hi Team , Parvathi from MLD 28th batch submitted my reviewscrapper assignment on jul 10.. Still its not been assessed.. Please check.."
assignment_evaluation,sir my DLCVNLP assignment still not check i submit it around 1 and half month ago again i resubmit it last week but still it is uncheck
assignment_evaluation,"Good Noon Sir. I submitted my assignments long back, but still my assignments are not graded. Please do check and let me know."
assignment_evaluation,pls check my assignment
assignment_evaluation,Sir my DLCVNLP assignment did not check I submit 2 months ago And re submit a month ago
